x;y;Station;prix_moyen_2014;prix_moyen_2015;prix_moyen_2016;prix_moyen_2017;prix_moyen_2018;prix_moyen_2019;prix_moyen_global;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Trafic;nb_lignes
651449.5655;6865156.6779;ABBESSES;8823.400533614;8396.2944564377;8698.65397776656;9700.3905684764;9718.9535409215;10275.9174644889;9268.93509028419;12;;;;;2349588;1
650605.2307;6858891.5557;ALESIA;8233.70877434606;7621.69730953004;8385.73047212748;8835.26567638007;9273.25748030708;9545.2486107218;8649.15138723542;4;;;;;4764374;1
655576.9894;6861985.8376;ALEXANDRE DUMAS;6518.82560728603;7079.92767098026;7600.02690021953;8104.87231270577;8708.51185635201;8880.11969788524;7815.38067423814;2;;;;;3439879;1
648719.8026;6862975.3829;ALMA-MARCEAU;14084.0805638431;12446.75324153;11765.6498651453;12581.833872668;14089.1339073957;14855.3457575812;13303.7995346939;9;;;;;4382709;1
651901.2249;6864961.0235;ANVERS;8163.49868524067;8098.70783766773;8375.94766148322;9029.78514561866;9599.68180232928;9844.62200190912;8852.04052237478;2;;;;;5643147;1
647874.6513;6864186.9211;ARGENTINE;8514.64325489348;9074.97093930732;9279.62471122694;10018.8816897693;10629.908294786;11030.5504644189;9758.09655906701;1;;;;;3026210;1
652809.6586;6863017.0982;ARTS ET METIERS;9351.4676755203;9152.45166363985;9303.83198712572;10172.5890404963;10830.0716650337;11853.7961205699;10110.7013587309;3;11;;;;4011632;2
650183.7135;6862520.0466;ASSEMBLEE NATIONALE;14057.448259931;13421.2772297667;14219.5755174251;15323.7374964443;16307.6820684045;17918.7381938086;15208.0764609634;12;;;;;1063551;1
653414.6433;6860443.13005;AUSTERLITZ;3949.98632335447;8312.41015968302;9549.37363954742;9967.4789252599;14707.7747241118;10724.7500077339;9535.29562994844;5;10;;;;9887549;2
648293.5441;6861005.6876;AVENUE EMILE ZOLA;8627.73445514363;8544.42032801507;8966.56786857363;9433.65376993391;10006.8818443455;10470.9391061296;9341.69956202357;10;;;;;1479759;1
655847.3058;6861442.5619;AVRON;7231.33181497147;7235.13958499069;7298.63048802591;7982.62964009626;8432.79801000395;8883.06373256475;7843.93221177551;2;;;;;1871024;1
647015.7484;6859784.1873;BALARD;7300.91785591634;7514.32377531127;7502.45011578405;8459.43651754745;8389.91272543719;9162.05821465639;8054.84986744212;8;;;;;5626040;1
652346.5444;6865040.90049999;BARBES-ROCHECHOUART;7127.79265386743;7016.08576522088;7224.67106315758;7824.7109534252;8595.22950917542;9400.68568623979;7864.86260518105;2;4;;;;7974496;2
653712.527066666;6861638.06553333;BASTILLE;9781.20001011408;8887.65712673236;10654.225382439;10632.2280724756;11698.0548796508;12729.0508596565;10730.4027218447;1;5;8;;;13151192;3
656030.6977;6860310.0664;BEL-AIR;7005.70865620893;7308.27122456383;7322.53428780189;7868.41525439231;8534.86922998593;8724.63405237173;7794.0721175541;6;;;;;2247926;1
654276.3874;6863742.0173;BELLEVILLE;6923.93112434173;6814.50839645422;6682.14535986265;7846.30556136793;8616.83267195676;9057.70253934024;7656.90427555392;2;11;;;;10735544;2
654474.80165;6860194.9617;BERCY;7103.20853100347;7315.67383497885;7764.63411350021;7758.35386908058;7963.84461771819;8733.99429114727;7773.2848762381;6;14;;;;6311543;2
654173.3908;6859062.6022;BIBLIOTHEQUE FRANCOIS MITTERRAND;7207.02206453215;6809.20387911185;7972.76217812259;8191.27840407688;8010.38558526966;9005.04501068514;7865.94952029971;14;;;;;19754334;1
647853.8595;6861779.4605;BIR-HAKEIM (GRENELLE);8902.21912406683;8523.56182793593;8606.55780329074;9293.41460296891;10278.8464100126;10418.8547988649;9337.24242785666;6;;;;;6903648;1
651007.2769;6865089.7195;BLANCHE;8575.13701635187;8064.74950361973;8585.58050656443;9681.30699022738;9423.57562232743;10092.9572214307;9070.55114342026;2;;;;;3893362;1
647920.0418;6863228.9678;BOISSIERE;9929.47956755473;9108.59762477765;9654.3605033427;10105.4068267887;11675.9024506721;12357.18420314;10471.8218627126;6;;;;;1919511;1
654100.662;6864715.5006;BOLIVAR;6672.11944920031;6899.25063575926;6979.55314875664;7754.96219503404;7967.89825933277;8244.05575149353;7419.63990659609;7bis;;;;;546780;1
652356.5489;6863544.515;BONNE NOUVELLE;8726.15441985549;8640.9879942875;9109.57395525366;9253.26476684717;10421.0381030461;11356.7023891766;9584.6202714111;8;9;;;;4583027;2
655197.2716;6864557.9604;BOTZARIS;6779.69805629579;6257.72610968775;6616.60105477831;7413.65828070288;7999.44212208014;8574.56866016852;7273.61571395223;7bis;;;;;993450;1
647739.0763;6860351.7535;BOUCICAUT;8331.18696490735;8170.90900123494;8267.19336239399;8518.05554620288;9027.06886428868;9503.04146177922;8636.24253346784;8;;;;;3152108;1
651638.0039;6863387.2034;BOURSE;9635.0774583725;10659.6510594771;9377.7663334838;10645.0980341883;11690.3421319853;14072.480766536;11013.4026306738;3;;;;;3386481;1
653789.9847;6861973.5003;BREGUET-SABIN;9641.91893290591;8768.32494930598;10372.8443633344;8985.0149214085;11453.2288914947;12450.2637483016;10278.5993011252;5;;;;;1791352;1
650151.8308;6865834.137;BROCHANT;7655.00190416458;7309.19494340357;7540.88173684038;8138.2681123229;9574.44184227012;9233.37994624049;8241.86141420701;13;;;;;2984525;1
654646.2892;6864454.645;BUTTES-CHAUMONT;6617.18482565812;6234.24793637866;6383.93140893728;7460.96466317424;8017.17596044552;8705.80804821096;7236.55214046746;7bis;;;;;545750;1
656047.1453;6861474.6081;BUZENVAL;6279.98396793821;6889.07578911061;7142.39288756565;7683.25082006439;7862.34822419295;8547.59062018196;7400.77371817563;9;;;;;1941769;1
651894.4424;6864185.1221;CADET;8698.74060344364;8304.23976061521;8659.70251306604;9365.02129475244;9966.42577254983;10720.6380603164;9285.79466745727;7;;;;;3042484;1
648847.9145;6861054.9765;CAMBRONNE;8948.08707705037;8869.10019216606;9259.08501034894;9794.94636345295;10188.4449296405;11037.0523060713;9682.78597978836;6;;;;;2524418;1
652935.9416;6859684.6612;CAMPO-FORMIO;8035.50333759852;8341.13813641433;8986.3874187412;8757.02023071997;8621.27578469212;9645.54450340879;8731.14490192916;5;;;;;1335450;1
652417.6279;6860930.0204;CARDINAL-LEMOINE;13391.30069275;10235.4373391486;10627.9017194765;11354.3379177334;11655.7211327781;11790.6100467016;11509.2181414313;10;;;;;1663781;1
652420.525;6860243.8862;CENSIER-DAUBENTON;11478.9858583001;9346.75315556667;9581.80058412574;10126.1048650095;10777.8427021968;11033.0962326637;10390.7638996437;7;;;;;3385284;1
649656.46925;6863299.3105;CHAMPS-ELYSEES-CLEMENCEAU;12740.4745740418;13091.0106327461;11468.6101454824;15173.5377452062;17280.8270318314;13815.3197219944;13928.2966418837;1;13;;;;4006171;2
646165.0737;6860823.2591;CHARDON-LAGACHE;7808.45660041919;7842.91872862748;8148.16490676256;8631.6911385644;9068.35949016401;10183.3070409475;8613.81631758086;10;;;;;692665;1
648339.9965;6864098.61836666;CHARLES DE GAULLE ETOILE;9716.1484313576;10521.9727607852;9358.91319981232;10426.6188811152;10695.4179380962;11581.8130626665;10383.4807123055;1;2;6;;;7296559;3
647601.6846;6860957.9773;CHARLES MICHELS;8637.48299473055;8370.47405679838;8325.17001577324;8743.36593842152;9454.73710406361;9850.0962649991;8896.88772913107;10;;;;;4601730;1
654915.2006;6861791.1422;CHARONNE;7557.25082689938;7538.22227183277;7834.1434806569;8616.39655283179;9300.70140541334;9754.31437193803;8433.50481826204;9;;;;;3652338;1
652765.4788;6863792.5575;CHATEAU D'EAU;8239.1414961846;7886.12912845628;8451.60299600112;8788.28467511823;10022.7655541467;10898.882236234;9047.80101435683;4;;;;;3878260;1
652313.3429;6865458.7189;CHATEAU ROUGE;6549.13485054795;6501.78868310299;7048.68306032887;7444.92213395914;8273.45887252664;8826.06238376593;7440.67499737192;4;;;;;7306788;1
653219.5359;6864471.7227;CHATEAU-LANDON;6923.67760994814;7123.36331985497;8456.37709521386;7923.01415795228;8669.12262990961;9694.872716934;8131.73792163547;7;;;;;1759434;1
652144.974639999;6862182.63491999;CHATELET;9964.16727878638;10257.8385038234;10015.1715167415;13241.7928632071;13220.3364134805;12108.7503721689;11468.009491368;1;4;7;11;14;10766712;5
651109.84135;6863872.8558;CHAUSSEE D'ANTIN (LA FAYETTE);11610.3843426011;9152.59412431174;9227.4363064368;10129.8435959502;15702.3284430449;17447.8270978691;12211.7356517023;7;9;;;;7312371;2
653636.9649;6862116.9823;CHEMIN VERT;9665.36775344059;8939.35077590377;10562.507173982;9332.2987745244;11604.3064344327;12670.6153207938;10462.4077055128;8;;;;;1527533;1
653618.2928;6859618.2657;CHEVALERET;6634.38136789269;6983.24248198114;8285.87368645453;7991.32099922913;8175.09401688586;8875.14329474659;7824.17597453165;6;;;;;3426306;1
652109.5385;6861853.227;CITE;10772.0468469242;11192.0095221587;10964.3151321398;14376.6377210615;13475.0814602616;14189.9982939659;12495.0148294186;4;;;;;1740572;1
651882.3097;6861422.9819;CLUNY-LA-SORBONNE;11416.9138527927;11085.8449663447;11185.4701312764;13041.6167159678;12544.7467011692;14262.322654844;12256.1525037325;10;;;;;2232036;1
653853.1813;6864360.3934;COLONEL FABIEN;6873.39960998638;7142.47782834612;8009.37558411806;7749.37341038277;8236.32137092158;8434.65856905271;7740.93439546794;2;;;;;4511921;1
648183.5662;6860759.2739;COMMERCE;8422.08254330295;8393.27272662307;8791.11767897823;9000.56737971777;9760.2889706977;10123.0451376044;9081.72907282069;8;;;;;2864592;1
650316.436;6863145.7179;CONCORDE;16885.0590808449;10913.7505650303;11577.5185469899;12774.5264318458;14307.7636423502;18331.5509221073;14131.6948648614;1;8;12;;;6115023;3
648372.7098;6859925.0172;CONVENTION;8032.61175066851;7449.08495696033;8389.41917097724;8386.05001915982;8675.70868393778;9601.98758251121;8422.47702736915;12;;;;;5275717;1
654727.0632;6866269.0824;CORENTIN CARIOU;5712.9246579316;5861.39484464168;5962.20528129425;6615.05927210521;6930.09745566286;7789.01353600506;6478.44917460678;7;;;;;2766678;1
652313.5223;6859055.391;CORVISART;8008.37613150813;7495.82690040216;7683.78935985686;8299.00230015599;8667.5736134766;9168.61910705339;8220.53123540885;6;;;;;2512122;1
654975.2848;6859428.6327;COUR SAINT-EMILION;6992.12810699566;7206.65185512121;6993.67937141972;7380.66171654157;7978.14732180311;8531.26481175177;7513.7555306055;14;;;;;6043808;1
648920.1378;6864580.1642;COURCELLES;9292.58991253696;10405.9072749815;9322.58687825394;10385.109564781;10924.0663276663;11419.9269473759;10291.6978175993;2;;;;;2557929;1
654559.4536;6863407.4921;COURONNES;7334.4321776898;6991.01236663649;7118.32179737182;7922.87096417938;8501.20233593892;8896.52857136818;7794.0613688641;2;;;;;2897777;1
654341.7793;6865822.0177;CRIMEE;5924.37562879282;5769.52387074738;6004.03277598896;6509.10772935681;6896.54505171816;7433.7728538017;6422.89298506764;7;;;;;5431969;1
655516.8981;6864827.9634;DANUBE;6486.99719434204;5638.14485215721;6028.83898160148;7064.58026884218;7386.16824781784;7990.36856280433;6765.84968459418;7bis;;;;;547896;1
655663.96825;6860108.1792;DAUMESNIL;6899.49537508137;7259.1318678798;7163.25900712339;7748.53459168901;8338.4005937902;8090.31923423452;7583.19011163305;6;8;;;;4954004;2
650987.2884;6859520.2915;DENFERT-ROCHEREAU;8459.63231425136;8598.02886707632;9511.197171945;7946.86485000355;8556.19057143063;11025.166473877;9016.18004143065;4;6;;;;3911586;2
655199.4896;6860061.0017;DUGOMMIER;6552.56564925117;7204.31776731283;7059.99784090412;7660.66824673943;8076.80633452559;7371.46589794062;7320.97028944563;6;;;;;2579556;1
648164.2594;6861386.5825;DUPLEIX;8987.27525116481;8620.75561516919;9031.01573842812;9576.39310641969;10233.7315728469;10572.9130112015;9503.68071587172;6;;;;;3221871;1
649856.2159;6860992.09314999;DUROC;10696.1561573445;9917.16167028603;10558.602618056;10804.2375856994;11494.5820223559;12369.6160859257;10973.3926899446;10;13;;;;3596220;2
649084.5508;6861850.7519;ECOLE MILITAIRE;10285.3061474676;10543.6252142905;10981.7412351807;11823.273290106;12960.2717684744;13598.3518959167;11698.761591906;8;;;;;4468169;1
650559.8002;6860279.0962;EDGAR QUINET;9766.14797110481;9383.68211516464;12366.8578032182;8616.65063101126;10617.7729407203;11964.2740940025;10452.5642592036;6;;;;;2142333;1
646364.8036;6861037.7277;EGLISE D'AUTEUIL;8050.96207444374;8162.51141701589;8323.97224689633;8756.03416721424;9180.22053501823;10152.4850585957;8771.03091653069;10;;;;;169939;1
652232.0865;6862838.6691;ETIENNE-MARCEL;9563.29887183839;10039.6156163382;9566.40772059978;10292.964360705;11014.1136947515;11852.73486245;10388.1891877805;4;;;;;2676549;1
650293.8318;6864518.8631;EUROPE;11316.4297138377;8285.4288495284;8856.76033536581;10768.0244200512;10591.7334207005;10995.7037458094;10135.6800808821;3;;;;;1618088;1
645692.4042;6860575.6926;EXELMANS;7770.34722183695;7618.59768678006;7743.01435244395;8514.46892535029;8990.23838607057;9870.24400416397;8417.81842944096;9;;;;;2102492;1
654803.4286;6861302.4487;FAIDHERBE-CHALIGNY;7802.88986614717;8082.0347387604;7725.47446020692;8649.11478162374;9379.62035986734;9776.2312659102;8569.22757875263;8;;;;;3032239;1
649937.2765;6860707.7605;FALGUIERE;10445.4438253715;9643.72383535578;9852.06936216332;10452.9752715246;10961.8898853721;11913.392088784;10544.9157114285;12;;;;;881763;1
648031.8468;6860532.9003;FELIX FAURE;8381.86800576883;8280.00721218076;8608.06009163311;8885.4396473701;9484.49928946995;9590.1952834327;8871.67825497591;8;;;;;1744774;1
653535.9904;6862766.9605;FILLES DU CALVAIRE;8926.60883869773;8711.60919018573;8893.19278814413;10448.1020375286;10763.4349679151;11838.6296684286;9930.26291515;8;;;;;1606192;1
649274.1463;6863469.47935;FRANKLIN-D.ROOSEVELT;14138.4177361701;12929.8286764055;13635.6989019906;14292.0555128571;15104.3237088497;14605.2775242833;14117.6003434261;1;9;;;;9545487;2
650272.1513;6860055.6505;GAITE;8699.25106408333;8473.7496270545;9146.29094822535;8031.00578114788;9678.59454561219;10392.9572694589;9070.30820593037;13;;;;;2713799;1
655900.08385;6862946.6501;GAMBETTA;6644.10637092524;6855.67317911605;7067.44720999161;7631.65594347935;8182.47948998925;8520.47838478708;7483.64009638143;3;3bis;;;;6798910;2
652911.894766666;6864203.377;GARE DE L'EST;7529.07901468025;7609.09572646626;7724.64378837548;8572.31170170571;9188.40613685618;11216.3807278751;8639.98618265984;4;5;7;;;22443106;3
654057.4582;6860733.2857;GARE DE LYON;8009.62777670722;7904.71362734645;7828.83007060573;8202.87303163107;8958.58904855318;9596.17223645163;8416.80096521588;1;14;A;;;36512570;3
652858.788549999;6864600.87089999;GARE DU NORD;6919.48037596898;7104.6287097367;7405.45156672205;8084.78744525141;8457.3521911356;9683.17851317343;7942.47980033136;4;5;;;;51141374;2
648695.3653;6863782.5778;GEORGE V;13681.629834097;12554.8886862382;11817.8811631499;11729.9252686161;11542.5364872724;13349.0560899559;12445.9862548883;1;;;;;6643262;1
651808.0022;6859208.4674;GLACIERE;7788.40372084973;7819.65861276341;7910.28840491261;8440.85372606771;8985.76800332454;9684.0220819182;8438.16575830603;6;;;;;4498939;1
653867.1922;6863509.3023;GONCOURT (HOPITAL SAINT-LOUIS);7535.28164332556;7642.13066522559;7727.81806459564;8618.11922686247;8661.24600642459;9259.56316221102;8240.69312810748;11;;;;;2192190;1
651819.1431;6863697.2503;GRANDS BOULEVARDS (RUE MONTMARTRE);8877.49109090031;9734.16326559248;9156.56630873364;9617.10551616571;10907.3746023827;12926.289637601;10203.1650702293;8;9;;;;6807424;2
650685.8186;6866078.8433;GUY MOQUET;7086.2629759056;6979.39707416954;7082.25200777923;7856.5401179989;8652.95253029526;9683.04698392048;7890.07528167817;13;;;;;4004960;1
650681.61275;6863942.08735;HAVRE-CAUMARTIN;11562.4982986234;8079.38004395393;9047.97450623626;10744.6546712948;13424.7621351019;9261.88317558762;10353.5254717996;3;9;;;;8277127;2
656177.9025;6865856.7161;HOCHE;4954.20875420875;4619.51575645629;4800.79957016273;4745.22407028233;4313.78305505829;5148.5059138465;4763.67285333582;;;;;;;1
652403.26595;6862131.976;HOTEL DE VILLE;10632.1074138159;10190.5675164937;9559.14712906889;12732.2894596225;13125.9549812239;13464.4343667589;11617.416811164;1;11;;;;12307363;2
648218.8598;6862982.8662;IENA;9511.91581126581;9693.07137513129;9867.56735609563;10717.0200772681;12033.4752559406;13122.5776036201;10824.2712465536;9;;;;;2646049;1
649710.23805;6862697.3927;INVALIDES;12825.5689950273;12241.394985161;12091.6217928691;13390.0136513629;15430.0453767199;14809.4248750448;13464.6782793641;8;13;;;;6540934;2
653129.4916;6863610.0193;JACQUES BONSERGENT;8212.6212152254;8067.35760495572;8332.92560066649;9353.06966310268;8960.83454345172;10314.3523685871;8873.52683266485;5;;;;;2477876;1
646299.9369;6861633.6924;JASMIN;8700.57351855657;8600.80013015528;8761.16423871398;9127.08546501617;9977.70854634961;10870.6987116881;9339.67176841329;9;;;;;1935764;1
653832.644333333;6864889.90053333;JAURES;6705.08551023536;6704.79736744254;7564.49867741012;7371.56001197206;7898.11804927048;8110.54191193275;7392.43358804388;2;5;7bis;;;5836196;3
646993.0906;6860917.8132;JAVEL;7891.16762431681;7713.7192002893;8167.57644060574;8556.36774150912;8982.12237060203;9523.63874195314;8472.43201987936;10;;;;;2969444;1
655215.4591;6864071.8789;JOURDAIN;6891.2412547286;5758.39662391466;6742.72508134114;7680.08388759904;8057.10608109473;8588.66204238219;7286.36916184339;11;;;;;3029314;1
651948.6586;6866024.9374;JULES JOFFRIN;6941.18167244992;6817.65724338445;7239.16246891426;8007.30054785375;8540.76330088448;9098.38017096505;7774.07423407532;12;;;;;4034229;1
652663.7157;6860860.62394999;JUSSIEU;13598.3058971075;10048.6844085442;10494.8005141545;11021.1292829832;11497.717728407;11623.1779284228;11380.6359599365;7;10;;;;4328012;2
648178.897;6863745.5821;KLEBER;10706.9460063811;9155.41922567958;10279.4886535433;11231.0643114044;11317.792974072;11868.5329029553;10759.8740123393;6;;;;;1253324;1
653102.402;6865121.3253;LA CHAPELLE;6257.05973306816;6354.48275436116;7428.75917141228;6722.59966228592;7533.33829908189;8396.70146122889;7115.49018023972;2;;;;;6534340;1
650559.5701;6865452.1927;LA FOURCHE;8030.82495400392;7433.59734626652;7794.2339132981;8540.09793719853;9088.37778118699;9441.72360939984;8388.14259022565;13;;;;;2563103;1
648522.459666666;6861240.28103333;LA MOTTE-PICQUET-GRENELLE;8926.07713295499;8834.89005039152;9132.50031346941;9839.54773700097;10277.9516609612;11195.4845041233;9701.07523315024;6;8;10;;;7958383;3
646744.2368;6862245.8558;LA MUETTE;9236.46200586808;8912.66584277363;9666.46267103409;9707.11569967743;10162.0996962021;11091.0990746605;9795.98416503599;9;;;;;3991922;1
649415.3796;6862186.2617;LA TOUR MAUBOURG;10885.4923749455;10646.1477943448;11226.6196114286;11878.1802150807;13381.8156365658;13751.9583126206;11961.7023241643;8;;;;;2139593;1
651513.7584;6865721.0309;LAMARCK-CAULAINCOURT;7972.21004936749;8032.83662416025;8214.12379187481;9259.63687998128;9337.64791390683;10307.5249007073;8853.996693333;12;;;;;2704202;1
654509.0245;6865200.9983;LAUMIERE;6656.36227945901;6109.33834512012;6249.58808848758;7404.66009450647;7526.60049130968;8352.47499167719;7049.83738176001;5;;;;;4325317;1
651605.5387;6864074.5114;LE PELETIER;9075.31872501721;8492.91229427422;8775.24177774153;9519.99797805089;11677.5309524868;14139.6781411792;10280.1133114583;7;;;;;2451509;1
654219.2941;6861428.6032;LEDRU-ROLLIN;8461.91465676966;8621.66718027278;8027.20342870504;9915.1069186679;10045.7236692815;10164.8742610363;9206.08168578889;8;;;;;3777270;1
652478.6539;6859729.3272;LES GOBELINS;8362.56020445165;8489.02115367085;8783.82532021167;9343.64135942587;9738.68350280817;10586.0623267028;9217.29897787852;7;;;;;3377372;1
651995.4564;6862674.8091;LES HALLES;9514.17638328332;10186.648568947;9919.76243530452;10681.9081875799;11251.7167087607;11799.0547534655;10558.8778395568;4;;;;;16069170;1
650643.5277;6864611.9937;LIEGE;9562.30330386704;8364.54436415618;8500.46423846749;10397.2196870731;10497.0828469738;10376.8204775818;9616.40581968659;13;;;;;1662452;1
653458.28465;6864778.89835;LOUIS BLANC;6609.03858452545;6776.20919511548;7546.13879647804;7391.84237755664;8278.60957665084;8374.75281159556;7496.098556987;7;7bis;;;;2272326;2
647796.9264;6865645.6998;LOUISE MICHEL;7517.85690633567;7388.54594054531;7963.42959790414;8719.18710114497;9338.2397361734;9732.82749964769;8443.34779695853;;;;;;;1
647351.9234;6860118.0595;LOURMEL;8018.58269870027;7970.12070909455;8104.15298442126;8489.8932262679;7938.82396024722;8258.83480552544;8130.06806404277;8;;;;;2301922;1
651659.1352;6862509.6962;LOUVRE-RIVOLI;9777.55611633909;10736.0533062165;11235.5407490727;13305.8436421884;13025.9376978169;12002.9079219021;11680.6399055893;1;;;;;2633369;1
651240.5212;6861647.0174;MABILLON;12769.0932089886;12398.1345613197;11799.6670179613;14146.9698344095;15137.602314224;15387.1597155305;13606.4377754056;10;;;;;1859872;1
650539.713833333;6863556.3095;MADELEINE;12807.8109900374;8635.88421495208;10200.8376907482;11666.1009341524;15499.0643839784;13538.3073377101;12058.0009252631;8;12;14;;;8473016;3
650051.0907;6857838.6019;MAIRIE DE MONTROUGE;7454.54545454545;6800.42896383933;7636.84210526315;7196.79688504106;7961.89539534435;8181.81818181818;7538.72116430859;;;;;;;1
652898.4845;6858233.0223;MAISON BLANCHE;6640.79610830488;6918.67601240364;6906.15088259211;7342.94667825463;7574.10895221292;8116.54543388822;7249.87067794273;7;;;;;1803381;1
649328.8075;6864985.5498;MALESHERBES;8636.01592260803;8555.47363287907;8785.59777341726;10055.5677980112;10374.091852;10583.9973993876;9498.45739638389;3;;;;;2406916;1
656419.7092;6861573.3159;MARAICHERS;5585.58462869285;6284.93379573631;6851.5537535735;7518.13810970301;7490.63705713728;8203.27102135961;6989.01972770043;9;;;;;2608017;1
652323.141;6865910.78665;MARCADET-POISSONNIERS;6646.37435631196;6390.16484894366;6895.36893849736;7581.90125259203;8250.83996061713;8727.23826546169;7415.31460373731;4;12;;;;5973655;2
653071.5478;6865798.4225;MARX DORMOY;5923.48345951984;5848.46839376464;6403.25026563283;6533.24412931451;6580.39879453959;7822.93815543339;6518.63053303413;12;;;;;3359946;1
